Date,Time,MQ2.SV hinten,MQ3.SV hinten,MQ9B.SV hinten,MQ135.SV hinten,MP503.SV hinten,HCOH.SV hinten
20240314,11:44:27,101,56,35,44,321,29
20240314,11:44:31,98,56,36,46,280,29
20240314,11:44:35,99,55,36,46,198,28
20240314,11:44:38,100,56,35,45,206,28
20240314,11:44:42,98,57,35,44,225,29
20240314,11:44:46,101,57,34,45,270,28
20240314,11:44:49,99,56,35,45,202,27
20240314,11:44:53,98,56,35,46,208,29
20240314,11:44:57,101,57,34,45,320,28
20240314,11:45:00,100,56,36,45,223,27
20240314,11:45:04,98,56,35,44,327,28
20240314,11:45:08,96,56,35,46,314,28
20240314,11:45:11,99,57,36,44,210,28
20240314,11:45:15,100,57,35,45,213,27
20240314,11:45:19,98,57,35,46,226,28
20240314,11:45:22,103,57,35,45,325,28
20240314,11:45:26,106,57,35,45,336,27
20240314,11:45:30,97,55,35,46,328,28
20240314,11:45:33,98,57,34,45,204,28
20240314,11:45:37,100,57,35,45,212,28
20240314,11:45:41,96,56,35,45,206,28
20240314,11:45:45,97,56,35,46,334,28
20240314,11:45:48,104,57,34,46,328,28
20240314,11:45:52,103,57,35,45,287,29
20240314,11:45:56,101,56,35,45,199,28
20240314,11:45:59,101,57,35,45,204,28
20240314,11:46:03,100,56,35,46,212,28
20240314,11:46:07,100,57,35,45,260,29
20240314,11:46:10,99,56,35,45,322,28
20240314,11:46:14,96,56,35,45,250,29
20240314,11:46:18,103,56,35,45,202,28
20240314,11:46:21,101,57,36,45,208,28
20240314,11:46:25,100,57,35,45,276,28
20240314,11:46:29,99,57,35,45,338,29
20240314,11:46:32,96,56,35,45,330,28
20240314,11:46:36,102,57,35,45,205,28
20240314,11:46:40,100,57,36,45,215,29
20240314,11:46:44,96,57,35,45,338,29
20240314,11:46:47,100,57,36,45,326,28
20240314,11:46:51,99,57,34,44,238,29
20240314,11:46:55,96,56,35,46,200,28
20240314,11:46:58,101,57,35,45,217,28
20240314,11:47:02,99,57,35,44,337,28
20240314,11:47:06,96,56,35,46,328,29
20240314,11:47:09,98,56,35,46,263,28
20240314,11:47:13,100,56,35,45,203,28
20240314,11:47:17,99,57,36,45,206,30
20240314,11:47:20,103,57,34,45,213,30
20240314,11:47:24,101,56,36,45,312,29
20240314,11:47:28,99,57,35,44,339,28
20240314,11:47:31,99,56,35,46,334,28
20240314,11:47:35,99,57,35,44,200,29
20240314,11:47:39,98,56,35,46,205,29
20240314,11:47:42,99,57,35,44,211,29
20240314,11:47:46,100,56,35,45,278,28
20240314,11:47:50,101,56,35,44,321,27
20240314,11:47:53,101,56,34,44,199,28
20240314,11:47:57,99,56,35,44,206,28
20240314,11:48:01,101,57,36,45,219,28
20240314,11:48:05,100,57,35,46,336,28
20240314,11:48:08,100,56,35,44,206,28
20240314,11:48:12,96,57,35,45,213,28
20240314,11:48:16,103,57,35,45,339,29
20240314,11:48:19,102,57,35,46,329,28
20240314,11:48:23,103,57,35,45,208,29
20240314,11:48:27,98,57,35,46,200,29
20240314,11:48:30,103,57,34,45,209,29
20240314,11:48:34,96,56,35,45,336,29
20240314,11:48:38,101,57,35,45,329,28
20240314,11:48:41,100,57,36,45,255,28
20240314,11:48:45,100,56,35,44,199,29
20240314,11:48:49,97,57,35,46,207,29
20240314,11:48:52,103,56,35,45,266,29
20240314,11:48:56,101,57,35,45,335,28
20240314,11:49:00,100,57,35,45,210,29
20240314,11:49:03,98,57,35,46,223,29
20240314,11:49:07,103,56,35,46,315,29
20240314,11:49:11,100,56,35,46,200,28
20240314,11:49:15,98,57,35,46,204,28
20240314,11:49:18,103,57,35,46,220,29
20240314,11:49:22,100,56,35,45,307,28
20240314,11:49:26,98,56,35,46,329,29
20240314,11:49:29,104,56,34,46,267,28
20240314,11:49:33,99,56,35,44,221,29
20240314,11:49:37,102,57,34,45,338,28
20240314,11:49:40,101,56,36,46,328,28
20240314,11:49:44,99,56,35,45,311,29
20240314,11:49:48,106,57,34,45,199,29
20240314,11:49:51,100,56,36,45,207,28
20240314,11:49:55,97,57,35,45,216,29
20240314,11:49:59,101,56,35,45,337,27
20240314,11:50:02,103,56,35,45,338,28
20240314,11:50:06,101,56,36,45,244,27
20240314,11:50:10,101,57,35,45,202,28
20240314,11:50:14,101,56,35,45,207,29
20240314,11:50:17,100,56,35,45,216,28
20240314,11:50:21,101,57,35,45,325,29
20240314,11:50:25,97,56,35,45,339,29
20240314,11:50:28,105,57,34,46,331,29
20240314,11:50:32,101,56,36,45,206,28
20240314,11:50:36,100,56,35,46,213,28
20240314,11:50:39,99,57,35,46,230,28
20240314,11:50:43,102,57,34,45,335,28
20240314,11:50:47,100,57,36,46,335,28
20240314,11:50:50,99,56,35,44,330,29
20240314,11:50:54,97,55,35,46,323,29
20240314,11:50:58,99,56,35,44,204,28
20240314,11:51:01,96,56,35,45,209,29
20240314,11:51:05,101,56,35,45,330,28
