# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:07:51	0.2	G	66.8	G
1/24/2024	14:07:56	0.4	G	66.8	G
1/24/2024	14:08:01	0.6	G	66.8	G
1/24/2024	14:08:06	0.6	G	66.8	G
1/24/2024	14:08:11	0.5	G	66.8	G
1/24/2024	14:08:16	0.2	G	66.7	G
1/24/2024	14:08:21	0.0	G	66.7	G
1/24/2024	14:08:26	0.2	G	66.7	G
1/24/2024	14:08:31	0.3	G	66.7	G
1/24/2024	14:08:36	0.6	G	66.7	G
1/24/2024	14:08:41	0.8	G	66.7	G
1/24/2024	14:08:46	0.8	G	66.7	G
1/24/2024	14:08:51	0.8	G	66.7	G
1/24/2024	14:08:56	0.5	G	66.7	G
1/24/2024	14:09:01	0.1	G	66.7	G
1/24/2024	14:09:06	-0.3	G	66.7	G
1/24/2024	14:09:11	-0.8	G	66.7	G
1/24/2024	14:09:16	-0.9	G	66.7	G
1/24/2024	14:09:21	-0.7	G	66.7	G
1/24/2024	14:09:26	-0.5	G	66.7	G
1/24/2024	14:09:31	-0.3	G	66.7	G
1/24/2024	14:09:36	-0.2	G	66.7	G
1/24/2024	14:09:41	-0.4	G	66.7	G
1/24/2024	14:09:46	-0.7	G	66.7	G
1/24/2024	14:09:51	-0.7	G	66.7	G
1/24/2024	14:09:56	-0.8	G	66.7	G
1/24/2024	14:10:01	-0.6	G	66.7	G
1/24/2024	14:10:06	-0.2	G	66.7	G
1/24/2024	14:10:11	0.0	G	66.7	G
1/24/2024	14:10:16	-0.1	G	66.7	G
1/24/2024	14:10:21	-0.4	G	66.7	G
1/24/2024	14:10:26	-0.6	G	66.7	G
1/24/2024	14:10:31	-1.2	G	66.7	G
1/24/2024	14:10:36	-1.4	G	66.7	G
1/24/2024	14:10:41	-1.4	G	66.7	G
1/24/2024	14:10:46	-1.5	G	66.7	G
1/24/2024	14:10:51	-1.3	G	66.7	G
1/24/2024	14:10:56	-1.0	G	66.7	G
1/24/2024	14:11:01	-0.9	G	66.7	G
1/24/2024	14:11:06	-0.9	G	66.7	G
1/24/2024	14:11:11	-0.9	G	66.7	G
1/24/2024	14:11:16	-1.0	G	66.7	G
1/24/2024	14:11:21	-1.0	G	66.7	G
