Date,Time,MQ2.SV Hinten,MQ3.SV Hinten,MQ9B.SV Hinten,MQ135.SV Hinten,MP503.SV Hinten,HCOH.SV Hinten
20240306,15:54:16.341,118.0,116.0,34.0,46.0,332.0,35.0
20240306,15:54:20.017,125.0,116.0,34.0,45.0,348.0,35.0
20240306,15:54:23.692,134.0,118.0,34.0,45.0,241.0,33.0
20240306,15:54:27.358,123.0,127.0,35.0,46.0,240.0,33.0
20240306,15:54:31.046,125.0,121.0,34.0,47.0,268.0,34.0
20240306,15:54:34.716,129.0,112.0,34.0,46.0,348.0,34.0
20240306,15:54:38.417,130.0,114.0,32.0,46.0,230.0,33.0
20240306,15:54:42.084,123.0,110.0,34.0,45.0,227.0,34.0
20240306,15:54:45.762,127.0,116.0,34.0,45.0,353.0,34.0
20240306,15:54:49.431,127.0,111.0,34.0,44.0,237.0,34.0
20240306,15:54:53.136,128.0,113.0,34.0,45.0,227.0,35.0
20240306,15:54:56.788,129.0,127.0,33.0,45.0,340.0,35.0
20240306,15:55:00.473,128.0,127.0,34.0,46.0,282.0,34.0
20240306,15:55:04.130,125.0,124.0,34.0,46.0,232.0,34.0
20240306,15:55:07.816,123.0,130.0,36.0,46.0,327.0,35.0
20240306,15:55:11.480,120.0,124.0,33.0,44.0,342.0,35.0
20240306,15:55:15.170,133.0,121.0,35.0,46.0,240.0,35.0
20240306,15:55:18.855,125.0,113.0,35.0,46.0,259.0,35.0
20240306,15:55:22.526,122.0,111.0,34.0,46.0,342.0,34.0
20240306,15:55:26.211,126.0,114.0,33.0,44.0,335.0,35.0
20240306,15:55:29.878,127.0,110.0,35.0,45.0,350.0,35.0
20240306,15:55:33.551,127.0,112.0,34.0,45.0,249.0,37.0
20240306,15:55:37.215,120.0,106.0,35.0,45.0,229.0,39.0
20240306,15:55:40.912,126.0,105.0,34.0,47.0,328.0,38.0
20240306,15:55:44.569,122.0,111.0,35.0,46.0,352.0,38.0
20240306,15:55:48.243,124.0,115.0,36.0,45.0,254.0,36.0
20240306,15:55:51.942,132.0,111.0,35.0,46.0,236.0,36.0
20240306,15:55:55.635,129.0,115.0,35.0,45.0,252.0,35.0
20240306,15:55:59.307,128.0,128.0,34.0,44.0,227.0,35.0
20240306,15:56:03.003,130.0,125.0,35.0,46.0,351.0,35.0
20240306,15:56:06.681,139.0,130.0,35.0,45.0,254.0,36.0
20240306,15:56:10.356,126.0,129.0,34.0,46.0,230.0,36.0
20240306,15:56:14.016,122.0,127.0,34.0,44.0,333.0,36.0
20240306,15:56:17.692,135.0,129.0,34.0,46.0,339.0,36.0
20240306,15:56:21.387,135.0,134.0,33.0,46.0,242.0,35.0
20240306,15:56:25.049,126.0,136.0,32.0,45.0,252.0,36.0
20240306,15:56:28.733,129.0,130.0,34.0,46.0,228.0,35.0
20240306,15:56:32.418,125.0,122.0,34.0,46.0,328.0,35.0
20240306,15:56:36.084,130.0,125.0,34.0,45.0,349.0,36.0
20240306,15:56:39.748,128.0,123.0,35.0,45.0,240.0,36.0
20240306,15:56:43.450,122.0,115.0,34.0,45.0,304.0,36.0
20240306,15:56:47.099,130.0,116.0,35.0,46.0,349.0,38.0
20240306,15:56:50.780,129.0,112.0,34.0,46.0,252.0,38.0
20240306,15:56:54.460,116.0,109.0,34.0,45.0,238.0,37.0
20240306,15:56:58.152,116.0,109.0,34.0,46.0,228.0,34.0
20240306,15:57:01.832,118.0,108.0,34.0,46.0,330.0,35.0
20240306,15:57:05.520,119.0,116.0,34.0,46.0,345.0,34.0
20240306,15:57:09.184,116.0,112.0,32.0,44.0,243.0,35.0
20240306,15:57:12.854,118.0,103.0,35.0,45.0,249.0,35.0
20240306,15:57:16.563,113.0,97.0,34.0,46.0,343.0,34.0
20240306,15:57:20.216,116.0,103.0,33.0,45.0,306.0,35.0
20240306,15:57:23.912,117.0,105.0,34.0,46.0,338.0,36.0
20240306,15:57:27.582,120.0,101.0,33.0,46.0,242.0,35.0
20240306,15:57:31.274,124.0,112.0,34.0,46.0,333.0,40.0
20240306,15:57:34.927,118.0,117.0,35.0,46.0,350.0,40.0
20240306,15:57:38.607,121.0,115.0,34.0,45.0,256.0,40.0
20240306,15:57:42.301,121.0,116.0,34.0,46.0,233.0,39.0
20240306,15:57:45.970,124.0,118.0,34.0,46.0,267.0,40.0
20240306,15:57:49.638,120.0,124.0,34.0,45.0,335.0,39.0
20240306,15:57:53.308,126.0,122.0,36.0,46.0,350.0,38.0
20240306,15:57:57.008,123.0,124.0,35.0,46.0,341.0,37.0
20240306,15:58:00.695,120.0,121.0,34.0,46.0,346.0,38.0
20240306,15:58:04.349,130.0,124.0,35.0,46.0,261.0,37.0
